"Company","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","Country_id"
"General Dynamics","1962-07-18","2022-08-15 20:15:00","Atlas-LV3 Agena-B","Samos 9","1","0","2","3"
"US Air Force","1962-07-21","2022-08-15 00:56:00","Thor DM-21 Agena-B","FTV 1130","1","0","2","3"
"General Dynamics","1962-07-22","2022-08-15 09:21:00","Atlas-LV3 Agena-B","Mariner 1","1","0","4","3"
"US Air Force","1962-07-28","2022-08-15 00:30:00","Thor DM-21 Agena-B","FTV 1131","1","0","2","3"
"RVSN USSR","1962-07-28","2022-08-15 09:18:00","Vostok-2","Cosmos 7","1","0","2","21"
"US Air Force","1962-08-02","2022-08-15 00:17:00","Thor DM-21 Agena-D","FTV 1152","1","0","2","3"
"General Dynamics","1962-08-05","2022-08-15 17:59:00","Atlas-LV3 Agena-B","Samos 10","1","0","2","3"
"RVSN USSR","1962-08-11","2022-08-15 08:30:00","Vostok","Vostok 3","1","0","2","21"
"RVSN USSR","1962-08-12","2022-08-15 08:02:00","Vostok","Vostok 4","1","0","2","21"
"RVSN USSR","1962-08-18","2022-08-15 15:00:00","Cosmos-2I (63S1)","Cosmos 8","1","0","2","14"
"US Air Force","1962-08-23","2022-08-15 11:44:00","Scout X-2M","DSAP-1 F2 (Program 35)","1","0","2","3"
"RVSN USSR","1962-08-25","2022-08-15 02:56:00","Molniya","2MV-1 n†­1 (Venera 2)","1","0","4","21"
"General Dynamics","1962-08-27","2022-08-15 06:53:00","Atlas-LV3 Agena-B","Mariner 2","1","0","2","3"
"US Air Force","1962-08-29","2022-08-15 01:00:00","Thor DM-21 Agena-D","FTV 1153","1","0","2","3"
"RVSN USSR","1962-09-01","2022-08-15 02:12:00","Molniya","2MV-1 n†­2 (Venera 2)","1","0","4","21"
"US Air Force","1962-09-01","2022-08-15 20:39:00","Thor DM-21 Agena-B","FTV 1132","1","0","2","3"
"RVSN USSR","1962-09-12","2022-08-15 00:59:00","Molniya","2MV-2 n†­1 (Venera 2)","1","0","4","21"
"US Air Force","1962-09-17","2022-08-15 23:46:00","Thor DM-21 Agena-B","FTV 1133 & ERS-2","1","0","2","3"
"US Air Force","1962-09-18","2022-08-15 08:53:00","Thor DM-19 Delta","TIROS-6","1","0","2","3"
"RVSN USSR","1962-09-27","2022-08-15 09:40:00","Vostok-2","Cosmos 9","1","0","2","21"
"US Air Force","1962-09-29","2022-08-15 06:05:00","Thor DM-21 Agena-B","Alouette 1 & TAVE","1","0","2","3"
"US Air Force","1962-09-29","2022-08-15 23:34:00","Thor DM-21 Agena-D","FTV 1154","1","0","2","3"
"US Air Force","1962-10-02","2022-08-15 22:11:00","Delta A","Explorer 14","1","0","2","3"
"NASA","1962-10-03","2022-08-15 09:13:00","Atlas-D Mercury","Sigma 7 (MA-8)","1","0","2","3"
"US Air Force","1962-10-09","2022-08-15 18:35:00","Thor DM-21 Agena-B","FTV 1134","1","0","2","3"
"RVSN USSR","1962-10-17","2022-08-15 09:00:00","Vostok-2","Cosmos 10","1","0","2","21"
"General Dynamics","1962-10-18","2022-08-15 16:59:00","Atlas-LV3 Agena-B","Ranger 5","1","0","2","3"
"RVSN USSR","1962-10-20","2022-08-15 04:00:00","Cosmos-2I (63S1)","Cosmos 11","1","0","2","14"
"RVSN USSR","1962-10-24","2022-08-15 17:55:00","Molniya","2MV-4 n†­1 (Mars 1)","1","0","4","21"
